Epoch 90, Loss: 0.934324381554999, epoch_time: 20.37 seconds
Epoch 91, Loss: 0.9343276314619111, epoch_time: 20.84 seconds
Epoch 92, Loss: 0.934307708245952, epoch_time: 20.32 seconds
Epoch 93, Loss: 0.9342736434645769, epoch_time: 20.83 seconds
Epoch 94, Loss: 0.9343222939386601, epoch_time: 20.42 seconds
Epoch 95, Loss: 0.9341965702975669, epoch_time: 20.80 seconds
Epoch 96, Loss: 0.9342115804916475, epoch_time: 20.39 seconds
Epoch 97, Loss: 0.9344186143177312, epoch_time: 20.74 seconds
Epoch 98, Loss: 0.9342743957914957, epoch_time: 20.48 seconds
Epoch 99, Loss: 0.9341984827344011, epoch_time: 20.64 seconds
Epoch 100, Loss: 0.9342672715826732, epoch_time: 20.53 seconds
Epoch 101, Loss: 0.9343379408847995, epoch_time: 20.48 seconds
Epoch 102, Loss: 0.9342646700579945, epoch_time: 20.61 seconds
Epoch 103, Loss: 0.9341634010396352, epoch_time: 20.46 seconds
Epoch 104, Loss: 0.9344690718301912, epoch_time: 20.69 seconds
Epoch 105, Loss: 0.93442773237461, epoch_time: 20.35 seconds
Epoch 106, Loss: 0.9342373769457747, epoch_time: 20.83 seconds
Epoch 107, Loss: 0.9344493863059253, epoch_time: 20.36 seconds
Epoch 108, Loss: 0.9342265477994594, epoch_time: 20.79 seconds
Epoch 109, Loss: 0.9343821820689411, epoch_time: 20.36 seconds
Epoch 110, Loss: 0.9343793159577904, epoch_time: 20.83 seconds
Epoch 111, Loss: 0.9342830660866528, epoch_time: 20.39 seconds
Epoch 112, Loss: 0.9342572020321358, epoch_time: 20.79 seconds
Epoch 113, Loss: 0.9342827128200997, epoch_time: 20.36 seconds
Epoch 114, Loss: 0.9343000083434873, epoch_time: 20.78 seconds
Epoch 115, Loss: 0.9342581237234721, epoch_time: 20.48 seconds
Epoch 116, Loss: 0.9343222779471699, epoch_time: 20.80 seconds
Epoch 117, Loss: 0.9342427748005565, epoch_time: 20.40 seconds
Epoch 118, Loss: 0.9342865529583722, epoch_time: 20.70 seconds
Epoch 119, Loss: 0.9342800386068297, epoch_time: 20.53 seconds
Epoch 120, Loss: 0.9342447366656327, epoch_time: 20.56 seconds
Epoch 121, Loss: 0.9342430888152704, epoch_time: 20.60 seconds
Epoch 122, Loss: 0.9343309373390384, epoch_time: 20.51 seconds
Epoch 123, Loss: 0.9342267295209373, epoch_time: 20.80 seconds
Epoch 124, Loss: 0.9343575471785011, epoch_time: 20.62 seconds
Epoch 125, Loss: 0.9343274141230234, epoch_time: 20.82 seconds
Epoch 126, Loss: 0.9342434420818235, epoch_time: 20.42 seconds
Epoch 127, Loss: 0.9343544477369727, epoch_time: 20.93 seconds
Epoch 128, Loss: 0.9343371493060414, epoch_time: 20.43 seconds
Epoch 129, Loss: 0.9342810286254417, epoch_time: 20.96 seconds
Epoch 130, Loss: 0.9343287886642828, epoch_time: 20.45 seconds
Epoch 131, Loss: 0.9342514072976461, epoch_time: 20.93 seconds
Epoch 132, Loss: 0.9343761743568793, epoch_time: 20.46 seconds
Epoch 133, Loss: 0.9343549274816746, epoch_time: 20.68 seconds
Epoch 134, Loss: 0.9343521406010884, epoch_time: 20.79 seconds
Epoch 135, Loss: 0.9341940828939763, epoch_time: 20.70 seconds
Epoch 136, Loss: 0.9343021562913569, epoch_time: 20.93 seconds
Epoch 137, Loss: 0.9343075330664472, epoch_time: 20.38 seconds
Epoch 138, Loss: 0.9342502908008855, epoch_time: 20.89 seconds
Epoch 139, Loss: 0.9343198261609892, epoch_time: 20.41 seconds
Epoch 140, Loss: 0.9343650144774739, epoch_time: 20.97 seconds
Epoch 141, Loss: 0.9343290459818956, epoch_time: 20.45 seconds
Epoch 142, Loss: 0.9343003783284164, epoch_time: 20.88 seconds
Epoch 143, Loss: 0.9342254051348058, epoch_time: 20.46 seconds
Epoch 144, Loss: 0.9343409596419916, epoch_time: 20.91 seconds
Epoch 145, Loss: 0.934248950423264, epoch_time: 20.49 seconds
Epoch 146, Loss: 0.9343860323836164, epoch_time: 20.63 seconds
Epoch 147, Loss: 0.9343583816435279, epoch_time: 20.52 seconds
Epoch 148, Loss: 0.9343489190427269, epoch_time: 20.60 seconds
Epoch 149, Loss: 0.9342394900031206, epoch_time: 20.76 seconds
Epoch 150, Loss: 0.9342623411155329, epoch_time: 20.47 seconds
Epoch 151, Loss: 0.9343416712632994, epoch_time: 20.73 seconds
Epoch 152, Loss: 0.9343870442088057, epoch_time: 20.35 seconds
Epoch 153, Loss: 0.9343186478789259, epoch_time: 20.87 seconds
Epoch 154, Loss: 0.9342274069786072, epoch_time: 20.41 seconds
Epoch 155, Loss: 0.9342420101165771, epoch_time: 20.82 seconds
Epoch 156, Loss: 0.934353743384524, epoch_time: 20.42 seconds
Epoch 157, Loss: 0.9343138351673033, epoch_time: 21.12 seconds
Epoch 158, Loss: 0.9343082948428828, epoch_time: 20.51 seconds
Epoch 159, Loss: 0.9343199061184395, epoch_time: 20.85 seconds
Epoch 160, Loss: 0.9342680151869611, epoch_time: 20.53 seconds
Epoch 161, Loss: 0.9342425741800447, epoch_time: 20.62 seconds
Epoch 162, Loss: 0.9342539593940828, epoch_time: 20.70 seconds
Epoch 163, Loss: 0.9342372824506062, epoch_time: 20.60 seconds
Epoch 164, Loss: 0.9342823312049959, epoch_time: 20.84 seconds
Epoch 165, Loss: 0.9342231721412845, epoch_time: 20.52 seconds
Epoch 166, Loss: 0.9342988838509816, epoch_time: 20.85 seconds
Epoch 167, Loss: 0.9343381269675929, epoch_time: 20.56 seconds
Epoch 168, Loss: 0.9343371209574909, epoch_time: 20.92 seconds
Epoch 169, Loss: 0.9342565907210838, epoch_time: 20.52 seconds
Epoch 170, Loss: 0.9343622435883778, epoch_time: 20.86 seconds
Epoch 171, Loss: 0.9343333382432054, epoch_time: 20.42 seconds
Epoch 172, Loss: 0.9342699603336614, epoch_time: 20.87 seconds
Epoch 173, Loss: 0.9342277115438042, epoch_time: 20.53 seconds
Epoch 174, Loss: 0.9343860680010261, epoch_time: 20.57 seconds
Epoch 175, Loss: 0.9343318364969114, epoch_time: 20.57 seconds
Epoch 176, Loss: 0.9343281533659958, epoch_time: 20.48 seconds
Epoch 177, Loss: 0.9342880539777803, epoch_time: 20.68 seconds
Epoch 178, Loss: 0.9342530195305987, epoch_time: 20.34 seconds
Epoch 179, Loss: 0.9342441609719905, epoch_time: 20.81 seconds
Epoch 180, Loss: 0.9343032080952715, epoch_time: 20.33 seconds
Epoch 181, Loss: 0.9342925483133735, epoch_time: 20.89 seconds
Epoch 182, Loss: 0.9343043122349716, epoch_time: 20.34 seconds
Epoch 183, Loss: 0.934283558915301, epoch_time: 20.80 seconds
Epoch 184, Loss: 0.9342789460973042, epoch_time: 20.38 seconds
